,hsa.miR.200b.3p,hsa.miR.200a.5p,hsa.miR.1976,hsa.miR.197.3p,hsa.miR.942.3p,hsa.miR.556.3p,hsa.miR.1295a,hsa.miR.181b.5p,hsa.miR.181b.3p,hsa.miR.181a.3p,hsa.miR.135b.5p,hsa.miR.135b.3p,hsa.miR.29c.5p,hsa.miR.29c.3p,hsa.miR.29b.2.5p,hsa.miR.215.3p,hsa.miR.194.5p,hsa.miR.4677.3p,hsa.miR.605.5p,hsa.miR.107,hsa.miR.6507.5p,hsa.miR.146b.5p,hsa.miR.1307.5p,hsa.miR.202.5p,hsa.miR.192.5p,hsa.miR.194.3p,hsa.miR.139.5p,hsa.miR.139.3p,hsa.miR.326,hsa.miR.708.3p,hsa.miR.6755.5p,hsa.miR.1304.5p,hsa.miR.141.5p,hsa.miR.196a.5p,hsa.miR.148b.5p,hsa.let.7i.3p,hsa.miR.3613.5p,hsa.miR.16.5p,hsa.miR.16.1.3p,hsa.miR.15a.5p,hsa.miR.17.5p,hsa.miR.17.3p,hsa.miR.18a.5p,hsa.miR.19a.3p,hsa.miR.20a.5p,hsa.miR.19b.1.5p,hsa.miR.92a.1.5p,hsa.miR.5586.5p,hsa.miR.3173.5p,hsa.miR.345.3p,hsa.miR.628.3p,hsa.miR.629.5p,hsa.miR.6511b.3p,hsa.miR.365a.3p,hsa.miR.484,hsa.miR.328.3p,hsa.miR.195.5p,hsa.miR.195.3p,hsa.miR.497.5p,hsa.miR.4521,hsa.miR.744.3p,hsa.miR.451a,hsa.miR.144.5p,hsa.miR.144.3p,hsa.miR.4732.3p,hsa.miR.193a.5p,hsa.miR.365b.3p,hsa.miR.6510.3p,hsa.miR.454.3p,hsa.miR.301a.3p,hsa.miR.21.5p,hsa.miR.21.3p,hsa.miR.3615,hsa.miR.133a.3p,hsa.miR.133a.5p,hsa.miR.1.3p,hsa.miR.3940.3p,hsa.miR.639,hsa.miR.642a.5p,hsa.miR.769.5p,hsa.let.7e.3p,hsa.miR.125a.5p,hsa.miR.1301.3p,hsa.miR.548ba,hsa.miR.3682.3p,hsa.miR.5000.3p,hsa.miR.128.3p,hsa.miR.4444,hsa.miR.1258,hsa.miR.153.3p,hsa.miR.149.5p,hsa.miR.103a.3p,hsa.miR.548o.3p,hsa.miR.802,hsa.miR.185.5p,hsa.miR.1306.5p,hsa.miR.301b.3p,hsa.miR.301b.5p,hsa.miR.130b.3p,hsa.miR.3199,hsa.miR.885.5p,hsa.miR.26a.1.3p,hsa.miR.425.5p,hsa.miR.191.5p,hsa.miR.16.2.3p,hsa.miR.551b.3p,hsa.miR.378d,hsa.miR.95.3p,hsa.miR.574.3p,hsa.miR.576.5p,hsa.miR.577,hsa.miR.4454,hsa.miR.887.5p,hsa.miR.581,hsa.miR.143.3p,hsa.miR.145.5p,hsa.miR.145.3p,hsa.miR.378a.5p,hsa.miR.6720.3p,hsa.miR.5683,hsa.miR.219a.5p,hsa.miR.133b,hsa.miR.30c.2.3p,hsa.miR.30a.5p,hsa.miR.30a.3p,hsa.miR.3662,hsa.miR.339.5p,hsa.miR.196b.5p,hsa.miR.550a.5p,hsa.miR.590.5p,hsa.miR.590.3p,hsa.miR.93.5p,hsa.miR.106b.5p,hsa.miR.182.5p,hsa.miR.96.5p,hsa.miR.183.5p,hsa.miR.183.3p,hsa.miR.335.5p,hsa.miR.335.3p,hsa.miR.29a.5p,hsa.miR.29b.1.5p,hsa.miR.490.5p,hsa.miR.490.3p,hsa.miR.671.5p,hsa.miR.671.3p,hsa.miR.3622a.3p,hsa.miR.486.5p,hsa.miR.4661.5p,hsa.miR.7705,hsa.miR.151a.5p,hsa.miR.151a.3p,hsa.miR.491.5p,hsa.miR.204.5p,hsa.let.7f.1.3p,hsa.let.7d.5p,hsa.let.7d.3p,hsa.miR.6854.5p,hsa.miR.32.3p,hsa.miR.181b.2.3p,hsa.miR.4770,hsa.miR.222.5p,hsa.miR.532.5p,hsa.miR.188.5p,hsa.miR.500a.3p,hsa.miR.501.3p,hsa.miR.500b.3p,hsa.miR.502.5p,hsa.miR.98.5p,hsa.miR.98.3p,hsa.miR.421,hsa.miR.374b.3p,hsa.miR.766.3p,hsa.miR.106a.5p,hsa.miR.542.3p,hsa.miR.503.5p,hsa.miR.504.5p,hsa.miR.224.5p,hsa.miR.452.3p
TCGA.A6.3807.01A,4284,4163,9,413,1,2,0,164,86,285,507,6,55,846,31,9,24364,10,1,76,0,2137,2267,1,221020,278,51,5,2,150,1,0,425,737,2,163,66,3062,9,349,4892,719,111,315,1732,61,18,2,0,1,1,127,0,72,117,33,71,0,20,0,52,320,80,14,0,67,72,0,33,28,463069,9719,4,28,0,103,0,0,9,36,10,465,2,0,0,4,150,5,0,3,89,18521,2,0,48,6,5,4,39,0,0,32,906,1647,22,2,1,54,75,30,106,0,0,2,201038,6321,183,108,2,0,3,4,6,11335,3150,3,63,17905,10,75,33,5369,497,15548,26,8517,1,38,307,71,39,0,1,5,4,0,55,3,5,159,1684,1,5,16,534,510,3,2,12,0,45,1430,9,502,69,1,2,90,5,2,5,11,154,636,49,0,79,17
TCGA.A6.3809.01A,878,4316,3,162,1,0,0,61,57,134,36,0,17,944,11,2,10537,7,0,61,0,546,1714,0,110436,169,25,2,3,42,0,1,2250,54,5,136,13,1381,11,88,819,350,34,43,241,14,3,0,0,1,2,151,1,13,28,3,21,0,3,0,74,287,44,22,0,65,13,0,3,3,139639,8424,5,1,0,4,0,2,14,5,0,70,6,0,1,1,151,5,0,2,9,3273,2,0,53,6,0,3,16,1,0,30,196,404,16,2,1,10,23,19,963,1,0,0,118172,785,26,94,1,0,0,0,1,2067,719,0,22,1784,13,22,18,1659,290,4956,2,3358,1,20,289,17,21,0,0,2,0,0,36,4,1,42,1961,1,0,1,174,284,0,0,4,0,85,461,2,77,11,0,1,21,4,1,3,3,208,136,6,0,39,4
TCGA.A6.4105.01A,3698,6301,23,715,5,0,2,1436,86,630,125,7,50,2987,25,11,84946,50,3,286,1,2044,3576,0,357820,1559,88,15,9,186,1,6,8349,2251,7,145,33,2004,32,521,4165,1972,55,75,2305,90,22,11,2,7,4,1004,1,78,122,52,104,5,20,1,81,1084,419,38,0,665,78,5,29,14,1136585,26325,21,5,0,76,6,12,11,127,7,829,20,0,8,8,1433,10,1,5,13,43061,13,0,260,23,0,5,85,1,0,7,795,2130,21,6,3,20,64,35,108,0,3,12,426406,2766,76,378,1,2,1,0,35,11376,5098,3,43,25234,34,41,35,26550,975,77930,92,38009,2,100,1237,53,73,0,1,10,11,0,626,19,2,388,14047,6,37,5,586,1411,3,1,18,1,131,8423,28,1271,266,17,4,247,1,17,18,16,55,917,60,1,455,22
TCGA.A6.4107.01A,4965,3202,9,294,1,3,1,718,28,225,349,4,49,1672,28,1,52152,19,3,151,1,968,811,0,166805,231,33,1,4,191,1,1,1152,1097,7,119,14,1332,8,369,2414,456,41,114,1196,11,4,1,0,0,3,242,1,68,151,31,39,1,25,0,37,249,104,2,1,90,68,0,23,15,674173,4296,3,20,1,57,2,0,21,22,16,733,6,1,3,4,160,1,1,5,19,34358,5,0,83,12,3,2,35,0,0,15,572,1223,12,3,2,30,81,21,243,2,1,3,154751,4635,112,131,0,4,6,2,8,18366,2767,4,54,42711,6,36,11,14246,484,62110,88,24804,3,42,687,32,23,0,0,10,3,0,43,6,3,180,4235,0,5,6,444,656,0,0,11,0,13,3237,5,565,95,2,1,114,3,4,8,7,150,611,158,1,289,16
TCGA.A6.5657.01A,6691,7353,49,839,3,0,1,1086,34,362,154,4,53,9741,57,8,30037,31,5,315,2,2612,894,8,59990,620,499,187,17,204,5,15,1177,1401,6,205,42,1604,16,546,2192,1601,88,99,1444,36,17,5,0,0,4,698,11,297,236,76,372,22,76,2,25,1897,772,55,3,1295,297,3,27,19,1444413,12461,12,444,4,1646,0,0,2,99,44,2626,20,1,2,12,723,0,2,15,59,129114,2,0,489,37,8,1,114,6,0,0,840,1570,19,3,0,33,214,11,65,0,2,1,3633645,34547,868,411,6,31,1,67,203,53265,20586,2,98,4268,21,53,28,33777,1420,110584,79,71290,7,87,858,22,23,11,169,24,6,6,821,1,4,400,17571,3,26,16,1065,1657,3,3,2,3,34,8947,24,3207,678,17,5,574,4,62,16,47,57,982,10,6,499,67
TCGA.A6.5660.01A,15247,11694,44,680,5,3,0,2761,73,725,262,9,24,2270,27,1,170533,26,4,683,0,2066,1732,0,338256,1738,58,15,5,225,7,7,4355,3208,10,84,35,2494,14,1043,6633,4364,147,140,4121,63,50,22,2,5,1,511,13,144,180,83,90,5,31,0,76,295,122,5,1,1324,144,3,30,57,1344437,13060,25,63,0,84,0,2,2,132,31,1182,44,0,2,9,767,6,0,7,57,132161,5,0,295,36,11,1,95,2,0,5,1625,3589,17,0,4,107,96,22,95,0,0,2,665469,6346,202,473,6,4,0,3,81,18486,8718,3,105,42270,27,41,27,40200,1862,223644,167,121007,10,150,2597,45,59,0,3,18,9,1,95,32,2,626,28750,3,148,14,853,1611,8,1,3,0,27,10660,39,2952,521,10,6,715,11,33,11,26,43,1213,13,2,768,42
TCGA.A6.5661.01A,9244,11789,26,618,3,1,1,709,34,216,207,17,24,4349,42,69,92530,23,6,327,0,2413,1148,0,240166,2609,39,7,11,72,1,1,3239,730,8,100,19,1413,13,627,3141,2024,84,110,1989,39,34,2,0,3,4,462,2,125,70,20,55,6,19,0,33,927,384,24,0,310,125,0,10,9,926644,13769,4,19,2,97,3,2,5,59,15,790,14,0,5,9,467,4,1,14,5,92444,2,0,378,15,1,0,64,2,0,5,665,1695,28,2,0,33,171,23,108,0,0,6,340931,3084,98,507,1,2,5,1,41,10593,3740,8,52,2750,11,33,18,18164,737,79717,68,39973,9,26,429,18,35,0,0,24,10,0,427,9,4,268,8654,2,1,15,495,1132,1,6,4,1,82,4082,7,1856,273,14,1,214,1,9,18,22,26,518,15,0,216,16
TCGA.A6.5662.01A,18118,11563,30,280,0,1,0,1320,34,328,646,3,64,4969,67,3,176582,13,5,596,0,1519,1174,0,222893,1055,149,45,17,111,10,2,4350,1542,14,176,23,3371,20,1070,6479,6573,42,70,4677,57,45,6,2,0,0,332,2,246,112,51,122,13,47,5,43,322,104,8,0,375,246,13,34,15,1434108,7743,34,239,2,1401,2,3,2,24,68,3459,40,0,6,12,355,10,2,27,26,174321,6,0,167,12,0,0,32,3,0,9,947,3257,16,0,3,77,274,26,35,0,1,1,1434468,20333,447,146,4,38,0,41,84,22992,10065,2,76,4618,7,21,6,28120,1178,367268,198,136755,6,138,855,40,61,3,90,15,4,0,56,16,1,454,16431,0,16,17,846,1381,1,1,5,3,24,2235,3,507,65,0,3,364,2,16,11,13,66,2267,36,0,194,10
TCGA.A6.5664.01A,503,578,33,1655,0,0,1,338,3,432,9,3,4,823,30,0,2888,2,1,41,0,132,23,0,3957,453,270,285,36,12,1,0,166,41,0,116,1,146,1,36,163,103,2,2,36,2,10,0,1,0,1,61,26,147,126,77,21,8,30,1,12,843,46,9,15,1033,147,0,0,0,42741,1069,37,122,0,15,4,0,3,34,114,2466,21,0,1,1,96,0,3,1,153,13022,3,0,24,37,0,1,19,0,0,0,407,590,0,0,1,3,666,4,1,0,1,0,160319,18423,49,492,2,1,0,24,64,4283,3663,0,150,332,9,0,0,2885,32,7806,2,6116,4,1,29,0,1,3,17,1,16,2,4330,2,1,57,3700,6,29,3,205,2287,0,0,0,0,2,566,1,430,147,3,1,14,0,1,1,46,8,32,2,11,21,1
TCGA.A6.5665.01A,4166,7139,27,437,6,2,0,181,24,149,111,6,15,2806,4,4,45202,28,0,171,2,999,397,1,149946,1227,21,12,9,28,0,5,3828,677,3,55,14,1279,12,249,1364,1187,43,42,840,24,12,5,1,2,2,397,1,44,80,8,59,3,13,2,35,1591,401,38,0,451,44,1,6,1,402855,11398,23,9,0,16,2,7,13,42,11,301,10,0,3,3,258,1,0,3,10,30028,2,0,165,6,0,0,46,0,0,4,610,874,24,0,0,14,59,16,57,2,0,0,173099,1250,50,570,0,0,0,1,15,4558,2061,1,34,3323,11,22,14,10128,715,25281,35,15976,1,42,240,9,23,0,0,1,2,0,673,13,4,111,4976,1,1,2,260,554,0,2,1,0,36,1732,2,546,77,2,0,87,1,5,4,20,27,334,4,0,72,8
TCGA.A6.5667.01A,9988,3838,32,1496,17,5,3,781,30,346,316,3,100,6315,104,6,124711,52,4,558,2,2420,222,1,204400,1143,359,106,22,247,11,13,2356,119,11,173,51,2369,10,789,6121,4110,282,292,4123,47,51,12,4,3,7,657,10,617,294,127,305,22,80,2,60,1342,439,12,0,1420,618,4,52,56,2076030,12845,26,1886,3,4503,1,7,0,121,50,2766,51,1,8,6,1952,16,6,45,149,192628,8,0,452,34,6,1,133,2,0,3,1602,3523,40,0,8,35,449,47,173,0,2,6,5220028,65797,1468,954,11,16,5,368,202,57417,19895,7,108,18170,65,59,24,38764,2169,87187,72,44853,4,144,2853,34,34,23,279,23,13,2,339,22,6,676,28884,12,7,17,1427,2389,5,3,1,3,28,12218,61,3100,565,9,22,696,6,49,23,69,126,1129,18,7,1223,106
TCGA.A6.6137.01A,25152,23422,118,2774,17,10,1,1137,78,822,325,14,107,21831,95,17,280996,45,3,966,4,2747,6628,5,838377,3371,150,31,44,139,10,9,7663,2011,31,484,110,6803,27,1278,8049,3618,261,305,4495,97,48,9,5,12,9,901,11,179,439,67,542,16,164,1,153,2007,548,115,1,1686,179,1,73,96,1704295,30871,25,93,0,150,9,11,27,198,21,1410,78,0,6,19,1053,25,1,38,36,227548,7,0,430,56,20,3,245,2,0,12,8116,12070,67,9,14,245,473,82,969,0,0,3,956924,14216,272,2031,6,2,9,20,62,32699,10751,9,236,36260,53,130,66,37825,2854,96990,141,57212,1,143,1592,51,36,0,0,26,18,2,491,132,17,1034,31601,11,9,21,2378,2865,4,10,9,0,118,12477,110,4313,567,19,8,706,15,67,23,54,88,2595,366,2,790,118
TCGA.A6.6138.01A,7195,5047,41,965,8,1,0,1042,61,662,287,4,75,12031,67,4,80516,33,1,379,0,3128,1990,0,162169,919,89,34,24,214,5,5,3569,1687,14,442,65,3203,40,969,4104,2087,58,110,2668,80,67,19,2,1,5,321,8,100,212,63,179,10,54,3,31,1254,359,41,0,883,100,1,33,18,1254127,18819,22,95,1,255,3,4,10,62,13,1085,33,1,4,4,440,4,5,35,22,76482,7,0,226,21,2,1,49,1,1,2,1238,3915,49,1,0,44,295,51,278,0,1,3,1302696,14763,272,369,3,10,3,22,58,20751,7086,3,167,17113,53,71,37,23675,1231,84597,118,31349,5,89,861,81,103,1,17,29,14,0,301,11,2,300,11068,13,7,20,1309,1517,4,5,1,2,57,5122,27,1136,173,6,2,184,4,8,15,35,73,747,38,0,228,13
TCGA.A6.6142.01A,12578,6815,73,2201,2,2,3,1471,56,857,615,6,79,5290,79,0,118349,17,8,685,0,1579,477,1,210991,791,78,29,111,688,4,4,2398,1214,16,444,35,2333,13,532,3905,3524,98,121,2063,65,16,9,2,1,13,842,17,208,434,155,323,22,144,4,129,6827,1078,82,5,1126,209,1,30,27,1685727,18402,33,190,2,382,2,3,5,149,107,3093,33,3,14,16,546,7,7,2,157,135401,8,0,335,35,7,4,128,4,0,2,1163,3017,40,1,0,38,676,45,108,1,4,2,1995964,29112,598,436,5,2,7,59,86,29085,10847,2,121,7536,50,78,15,19268,1437,109430,93,63319,3,76,847,30,16,5,49,22,13,1,1517,43,1,681,33360,24,24,15,1461,2262,3,2,5,0,21,3696,16,824,167,4,6,378,7,21,16,45,79,1331,39,1,470,42
